Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,15.07454639,14.17172125,12.52472036,11.98347037,12.96147624,13.88932554,13.58985661,13.41272205,13.117917,12.94812194,12.44143296,11.82709879,10.84989946,12.55735461,12.82355604,12.0986556,11.27269176,10.56132916,9.265344887,8.220240322,7.912934479,7.394094535,6.846120502,6.897821056,6.661339814,6.384963469,6.26451312,6.095489902
Albania,4.375777269,4.816950355,4.651673609,4.445670923,4.341855161,4.21550322,4.041682419,3.670633741,3.494005395,3.245028832,2.84219536,2.650714348,2.503683192,2.321657395,2.087543625,1.718330986,1.541555649,1.532322331,1.501463945,1.401067215,1.462628704,1.396701407,1.412900515,1.404149498,1.430532635,1.376821541,1.380790194,1.359957364
Algeria,3.72334789,3.558068652,3.436502731,3.338044954,3.369063616,3.275680506,3.202686258,3.224755365,3.120135578,3.008306384,2.829183805,2.655424467,2.489811899,2.25641197,2.162144577,2.060535132,1.967604329,1.881526582,1.795026992,1.709342222,1.631491845,1.575506483,1.506446668,1.488834294,1.477074327,1.432312207,1.350009204,1.258640554
"American Samoa",8.658198423,8.468541356,8.288641857,8.142822127,8.028443003,7.882339256,7.765906357,7.652726852,7.357534501,7.350486016,7.675871355,7.828295894,7.83260849,7.727406855,7.886401204,7.685550063,7.509866326,7.53233507,7.38556783,7.274790085,7.234326517,7.09408485,7.016297824,6.861428231,6.911174571,6.848659113,6.845059241,6.841468997
Andorra,0.954605995,0.935364964,0.973840463,0.889924557,0.866612536,0.842944049,0.858249006,0.790874285,0.768732849,0.748601985,0.732557108,0.715162263,0.730499631,0.685971542,0.678503685,0.665895875,0.65389304,0.645997739,0.63588977,0.627555392,0.615371943,0.598539032,0.589695746,0.578370889,0.567170402,0.552334474,0.551925714,0.550402991
Angola,26.80200767,26.78723289,26.18655727,26.21496347,26.0824634,25.36930076,24.36006082,23.74115953,23.95238765,23.18037091,22.42017473,21.88836494,21.13538379,20.17598442,20.77584742,19.57141898,18.42143343,17.23881825,15.87438245,14.22063343,13.158876,11.88952894,10.97181944,9.932924958,8.961826452,8.435276071,7.673098627,7.110394938
"Antigua and Barbuda",6.927617155,6.799112083,6.653038687,6.510252733,6.14634518,6.00600201,5.836149951,5.635366665,5.54238197,5.310835835,5.120338989,5.110527936,5.112958607,5.079447924,5.091098828,5.123679416,5.10231403,5.129278486,5.200788919,5.138175155,5.228628881,5.265670475,5.267986821,5.323938931,5.210184337,5.002208582,5.013435425,4.943890242
Argentina,3.628467004,3.550322011,3.493296825,3.328255991,3.204162,3.07175694,3.12971752,3.109595664,3.105215094,3.024151703,2.885805384,2.849138042,2.810377013,2.625413775,2.371940168,2.27681701,2.224534105,2.242877075,2.143805003,2.045885506,1.958840183,1.88542104,1.845291485,1.773971468,1.689750259,1.601896354,1.620498331,1.603569461
Armenia,7.522088145,7.775952351,8.880102938,9.893292984,10.15761101,8.882203056,7.499473763,6.588984448,5.821020446,5.019610511,4.579073691,4.142586778,3.706182267,3.268828034,2.847311391,2.522982281,2.115396692,1.995107049,1.862360591,1.853959161,1.884848523,1.816765757,1.806919009,1.703458002,1.644161716,1.637363617,1.581458714,1.584126855
Australia,1.777257124,1.650673913,1.645541527,1.545399192,1.525734204,1.475211419,1.4660284,1.449649076,1.41223552,1.394061115,1.309539785,1.247639194,1.197980231,1.13869379,1.102139468,1.075584515,1.04026115,1.029790931,1.021528191,1.009308792,0.991280997,0.927297047,0.892737457,0.892874361,0.888278993,0.902177187,0.898641995,0.899936188
Austria,1.544569941,1.569605903,1.543603816,1.520798346,1.487117734,1.399708406,1.306138474,1.235550728,1.162230903,1.135223201,1.147708341,1.115647478,1.122704433,1.123643593,1.08702781,1.083780796,1.009839776,0.98784053,0.941916226,0.962334142,0.916667859,0.880604558,0.853333634,0.830292533,0.788507908,0.787303971,0.764290177,0.751514675
Azerbaijan,7.822472065,7.789094231,7.863521555,7.63194126,7.353632138,6.959245028,6.603624046,6.246770734,5.833248515,5.28147167,4.716439511,3.934000826,3.905357118,3.758149783,3.692064166,3.740600899,3.461288817,3.259438506,3.320817839,3.282272657,3.303203376,3.304421793,3.256845165,3.238385879,3.197469707,3.095807653,3.033316985,3.007401668
Bahamas,8.747206742,8.471788431,8.402777877,8.473843328,8.15112941,8.044272099,7.724423458,7.832844488,7.775137132,7.363459567,7.239738076,7.045826723,6.88793447,6.742020076,6.659728473,6.690805495,6.714931271,6.761729546,6.702939997,6.74113789,6.660584453,6.721947125,6.888032434,7.081146527,7.026754268,6.961034214,6.929052445,6.87791191
Bahrain,1.871884022,1.8885238,1.897114309,1.911101003,1.897673484,1.975769701,1.932333782,1.940264403,1.902359652,1.811021443,1.518814364,1.325136855,1.11910334,1.030411814,0.996145503,0.927437217,0.883233779,0.793400358,0.745138287,0.711038657,0.677873251,0.66520422,0.699548971,0.715088388,0.69829988,0.68310212,0.669500531,0.656166719
Bangladesh,44.95638615,43.68079296,42.06121002,40.67882306,38.8249402,37.65395795,36.67988369,35.71663313,34.28724323,32.74213754,31.471995,30.06626933,28.66477471,27.1194679,25.8721091,24.32082536,22.3354565,21.5900855,20.19991642,18.31970361,16.44962722,15.04025941,13.51509725,12.22552558,11.17597489,10.34556893,9.598387698,8.936756298
Barbados,5.994240079,5.878620969,5.656005635,5.644806746,5.515844798,5.525666656,5.394288095,5.046994288,4.889711952,4.64159441,4.445062839,4.323440358,4.40631898,4.382183746,4.351737845,4.337450173,4.267345918,4.205391918,4.123811099,4.033268527,3.945284285,3.911927846,3.872403255,3.939915762,3.857265749,3.814293179,3.829837936,3.821571201
Belarus,12.22472767,13.08840764,13.84609782,14.99243072,16.12795193,16.83180692,16.71486732,17.08945525,18.1019403,19.03486731,16.74079555,17.30396704,16.18827022,14.48361048,13.97251427,13.89643156,12.82617893,11.56507871,11.09453631,10.82905882,11.20788652,10.4997709,8.685094043,7.907463104,7.503170773,6.914715354,6.621148279,6.638843142
Belgium,1.392638844,1.348927674,1.340628453,1.28343798,1.276254025,1.19882994,1.101635255,1.032835702,1.03546032,1.021909182,1.012335667,1.021376875,1.035827006,1.003230518,0.946095997,0.946377401,0.93028544,0.94393021,0.943640975,0.923234929,0.90994761,0.911891567,0.905907664,0.889438034,0.859184949,0.88092615,0.834825047,0.822758992
Belize,8.908154399,9.169390553,9.172969983,8.745171353,8.064464629,8.20864796,8.396939863,8.132760758,8.390164917,8.100812428,7.997835239,7.721578797,7.533716977,7.42483167,7.391939504,7.364717974,7.132760058,6.978239307,6.839253051,6.813326012,6.750208968,6.74988326,6.591067804,6.605473088,6.500617986,6.472054925,6.544745912,6.502222654
Benin,9.126423162,9.030873226,8.386494665,8.100722556,7.80916316,7.623909956,7.241719176,7.134974343,6.709773304,6.743030257,6.279713694,6.078796926,6.387133224,6.139318932,5.86137605,5.415410905,5.074094445,4.996457072,4.804268363,4.701562062,4.611565789,4.682709073,4.891182586,4.664451104,4.504186414,4.205295965,3.905231002,3.628296242
Bermuda,7.119164501,6.9242566,6.583715686,6.187303195,5.747331837,5.389231936,4.968905988,4.651625643,4.400646963,4.112789574,3.926961444,3.868746377,3.816910591,3.786868826,3.771429119,3.809471083,3.764645292,3.759601838,3.67847078,3.644835286,3.564332085,3.481715226,3.41363708,3.491369517,3.367813521,3.260123806,3.27813194,3.272544026
Bhutan,8.667767173,8.4675999,8.259028118,7.919914748,7.589943206,7.246029489,7.024910683,6.797909117,6.358348688,5.90163871,5.563688303,5.296882709,4.978390158,4.735488593,4.48156799,4.24947288,3.997628219,3.866129589,3.665462169,3.482915578,3.290722908,3.122059469,2.939276791,2.817750661,2.703965641,2.59939871,2.504947976,2.41986441
Bolivia,12.94907762,12.60150106,12.10505498,11.62025097,11.02648025,10.54019948,10.07723972,9.705205671,9.146133928,8.619810125,8.184107196,7.728388302,7.235839952,6.796919189,6.317890981,6.024353775,5.756389511,5.481984249,5.238311968,5.019106625,4.753528883,4.571707729,4.436049357,4.268998101,4.130072075,3.993941288,3.83351902,3.718690955
"Bosnia and Herzegovina",1.098233142,1.265188803,1.284074726,1.29468061,1.291899235,1.304441622,1.239235608,1.124534335,1.045837197,1.056732527,1.033411758,1.068039999,1.079338852,1.007956449,1.022515464,1.065496705,1.012312602,1.084042954,1.032307327,1.007435221,0.999236139,0.928729505,0.952531059,1.010408432,1.056239911,1.045418866,1.057088872,1.038999581
Botswana,3.800100924,3.732732814,3.679237338,3.61292816,3.545004422,3.432961274,3.291404148,3.160233881,3.185218622,3.157469572,3.137259596,3.119191544,3.101163334,3.01336884,2.875840219,2.703611245,2.578141045,2.33996129,2.277859652,2.217017477,2.173512588,2.174227288,2.129999209,2.095465704,2.078503642,2.056226788,2.01410242,1.989012404
Brazil,6.82271972,6.543045302,6.292653104,6.140591526,6.047831951,5.929609672,5.787985387,5.576424627,5.302372044,5.098671071,4.95186985,4.813150295,4.751364024,4.599355804,4.487359765,4.283312842,4.149845276,4.015899624,3.887730565,3.794902842,3.636996097,3.529233776,3.419764833,3.294991812,3.192007975,3.091248033,3.048289531,3.020960413
Brunei,7.911750698,7.691453242,7.307107307,6.859273646,6.572734705,6.279031721,6.05293171,5.847989597,5.759223457,5.588710817,5.456256957,5.241599672,5.0073977,4.876948473,4.753114641,4.679510775,4.606937527,4.564292888,4.467384825,4.428160151,4.41084175,4.431868814,4.469653761,4.466986674,4.406085286,4.353080061,4.314438009,4.346558383
Bulgaria,3.73321144,3.517969401,3.55303668,3.451671439,3.601992752,3.440046805,3.384086374,3.483154331,3.443580576,3.17918989,3.000460555,2.756032009,2.689551972,2.659761488,2.591023432,2.619502952,2.631704838,2.5722231,2.492853785,2.371820021,2.220153347,2.145494252,2.072365417,2.027563316,2.142629658,2.052900114,2.05080807,2.052959916
"Burkina Faso",7.22712772,7.029073475,6.814834264,6.620522762,6.593420652,6.270604301,6.073518629,5.946290153,5.788114818,5.742853066,5.808226877,5.822048418,5.944052591,6.058239673,5.941867161,5.877088715,6.010337261,5.889123195,5.856151269,5.870018611,5.904384862,5.821098387,5.991014226,5.946672133,6.001674638,5.956208444,6.027167555,5.728256462
"Burma (Myanmar)",18.92340655,18.53116965,17.98101683,17.35377222,16.80777442,16.18690522,15.88359175,15.39634912,14.97496504,14.43481456,13.76460913,13.17352843,12.55556104,12.09028844,11.6940247,11.07280238,10.4434706,9.69746946,9.206721864,8.596959056,7.998720086,7.503447064,7.169824861,6.913471722,6.580548647,6.378155929,6.201083044,5.940205335
Burundi,9.198676568,8.969728156,9.035085592,8.621695324,8.444922084,8.285758675,8.075729698,7.962829295,7.481324085,7.023478658,6.610965317,6.349946717,6.298877106,6.134073315,6.047098552,5.933354602,5.827094191,5.566840548,5.156737972,4.968593887,4.891959959,4.878742076,4.516169174,4.659081973,4.553398872,4.423399614,4.156260658,4.059287412
Cambodia,29.44722215,27.99111372,26.62173036,25.47152454,24.39840285,23.36232379,22.28738259,21.11079874,20.03198747,18.92475102,17.83508176,16.83798792,16.2508808,15.31170724,14.35889464,13.43313901,12.66583507,11.95068592,11.31901819,10.76827781,10.32747071,9.900962659,9.666632823,9.252374578,9.036701876,8.750966436,8.425834308,8.087273374
Cameroon,6.48231488,6.406800918,6.361303235,6.288501484,6.139876663,5.927221251,5.885995063,5.831321243,5.732883746,5.675494864,5.658397566,5.408155175,5.462574419,5.239036978,4.994104887,4.824230295,4.801803404,4.678943853,4.649765141,4.718883491,4.680235267,4.481377193,4.256397503,3.97292767,3.69427124,3.46549851,3.398258977,3.175584224
Canada,1.546105201,1.471695818,1.394082487,1.39506798,1.351977221,1.336428663,1.282636045,1.233912244,1.199520785,1.177086469,1.128679487,1.099684002,1.085873067,1.052692215,1.013739818,1.016335988,0.98595703,0.972180168,0.964094403,0.929198556,0.912490565,0.883672716,0.907633563,0.901769063,0.922939946,0.93608915,0.916618655,0.904190335
"Cape Verde",4.878532596,4.758376091,4.7979351,4.910995842,5.009293838,5.181686792,5.663067962,6.236890813,6.753439499,7.310384795,6.976610444,6.785459772,6.647084556,6.390631087,6.178714511,5.997290536,6.032834669,5.880217418,5.718200487,5.561852857,5.651779922,5.481122128,5.382853858,5.218296864,5.207910626,5.093385992,5.006480096,4.895437072
"Central African Republic",15.49381857,15.78917966,15.78558688,15.93288582,15.76018059,15.4048336,15.57936493,15.31971316,15.2797374,15.23560007,14.75913272,14.59167409,14.36950399,14.14411006,13.80866606,13.58826491,14.17671873,14.08605772,13.9084338,13.82961535,13.61406223,12.8967363,12.31158697,12.10146944,11.94412662,11.6546498,11.07479415,10.71534033
Chad,8.485220942,8.331962517,8.185893276,8.131557076,8.169271427,8.066498149,8.180902776,8.254987334,8.307529024,8.411628982,8.513624371,8.591295862,8.511470421,8.470776627,8.201951317,7.922951963,8.081050488,8.282084999,7.956529034,7.72182785,7.801722905,7.429797692,7.313190725,7.18280327,6.922186728,6.907496989,6.701898806,6.436289583
Chile,3.79838664,3.553614432,3.507431509,3.729064905,3.882466143,4.100267186,4.157912557,4.132356836,4.050001967,4.000678277,3.931340927,4.050098559,3.852535598,3.764492667,3.591185124,3.353926246,3.151044355,2.992459508,2.911538776,2.91536048,2.691500541,2.520543336,2.378058006,2.312423598,2.276273218,2.245901097,2.241489228,2.242896671
China,14.43991773,14.22944174,14.21471993,14.16222516,13.71953064,13.40088649,12.86965998,12.09789567,11.21709863,10.3284945,9.717167349,8.753683152,7.734386537,6.710729986,6.403861082,6.091241636,5.504240482,5.201767632,5.104033547,5.119854254,5.010125204,4.793471344,4.773960794,4.747021646,4.805201275,4.844551669,4.779140283,4.515507602
Colombia,6.21649698,6.193403834,5.923182019,5.547032729,5.368321138,5.123658748,4.840321404,4.323383289,4.00131288,3.796586966,3.606065505,3.474876688,3.684264498,3.445411743,3.427133582,3.252890418,3.287124117,3.132946054,3.096382016,3.109367033,2.976507385,2.713829542,2.568141494,2.426089917,2.393036411,2.332837891,2.318503888,2.276565795
Comoros,6.824767809,6.504885435,6.209369232,5.919820656,5.766817734,5.509467105,5.388553947,5.056925651,4.836489833,4.666383897,4.401925242,4.157917705,4.060225496,3.710361977,3.726812342,3.589834524,3.686430564,3.54873213,3.618063569,3.481641719,3.403664223,3.331429103,3.152797906,2.825594278,2.783666887,2.737038472,2.607481748,2.56341379
"Congo (Brazzaville)",13.78498798,13.25934746,13.08095639,12.952711,13.51533515,13.54665016,13.60229757,13.71466752,13.15288901,13.07363248,12.42346711,11.25808721,10.56790903,10.25242657,9.763063318,9.768433255,9.343162415,8.893104608,8.512831095,8.008495047,7.363860539,6.745059829,6.517493088,6.109680467,5.84541214,5.530452473,5.203750318,5.028954985
"Congo (Kinshasa)",14.07912081,13.98779419,13.77375975,13.53871107,13.20106531,12.962532,12.49437368,12.2139582,11.92213996,11.65185784,11.61304864,11.33380509,11.01587421,10.73464992,10.28703417,10.06939101,10.06582122,9.902973217,9.822486386,9.971837084,9.823013167,9.710760311,9.466738412,9.063233629,8.667314536,8.314586753,7.741965408,7.266667329
"Costa Rica",5.908819046,5.632067338,5.838626895,5.544785897,5.499223134,5.680805983,5.290555731,4.946582587,4.787555533,4.632679381,4.068757437,4.046256795,3.997549122,3.866703366,3.716509668,3.452996412,3.521685663,3.195205372,3.18300865,2.99150396,3.300033675,3.153287491,3.009384309,2.962471063,2.986275428,3.144803414,3.285794499,3.270748023
Croatia,3.043346402,2.964840486,3.097831849,3.029325957,3.037862164,3.087549431,3.089534656,3.111455918,2.947283304,2.78560058,2.587677253,2.49379578,2.37391014,2.316333205,2.157447073,2.211395754,2.18102174,2.311411779,2.354990171,2.270062478,2.235542159,2.177414329,2.172300192,2.069654709,2.047538304,2.116908237,2.010667539,1.940093721
Cuba,4.885836926,4.88131808,4.768510062,4.694367329,4.60901402,4.358282095,3.889168185,3.626414869,3.516621235,3.290685163,3.119176069,3.043731568,2.920471074,2.83887623,2.817205098,2.88764396,2.705068154,2.715429736,2.683503076,2.729055371,2.728825307,2.611991327,2.702357936,2.714040152,2.697860512,2.731315706,2.737265626,2.718322741
Cyprus,3.492950502,3.451760049,3.361300934,3.329114549,3.317360809,3.280928246,3.313573449,3.369398735,3.379091401,3.340402759,3.363215835,3.277111368,3.198574244,3.117954904,3.056042289,2.899610302,2.878387666,2.891148337,2.743428287,2.566448342,2.37309617,2.114014654,1.997937746,2.006625728,2.037081059,1.985119327,1.979085709,1.993516566
"Czech Republic",3.178400944,3.095595171,3.152665687,3.080087128,3.174769257,3.140376593,2.973330869,2.989507109,2.782618838,2.725952633,2.68867193,2.620025849,2.606125429,2.579839025,2.439724055,2.420268747,2.325857577,2.298296833,2.263124058,2.201416285,2.178053293,2.1164247,2.039927494,1.996989882,1.898917745,1.9032527,1.86048084,1.826035388
Denmark,0.911225064,0.922869085,0.900876136,0.929566557,0.995664343,0.968702325,0.973747687,0.972051078,0.945169069,1.031378116,0.984069257,0.994783085,0.997487324,0.996109595,0.963195044,0.909816915,0.9165362,0.913332001,0.819974339,0.756249496,0.713796039,0.668710437,0.646007967,0.618278888,0.602368396,0.571952912,0.588745721,0.598061512
Djibouti,6.562400221,6.871975021,7.302647544,7.399678217,7.393476453,7.532194626,7.473394435,7.349000017,7.066010203,6.765003988,6.486871611,6.081932374,5.665083067,5.382061634,5.117485735,4.79595513,4.597604997,4.359075365,4.074945483,3.837472022,3.60879582,3.399169243,3.232159618,3.070165899,2.882363424,2.720569177,2.65764138,2.545912669
Dominica,6.655083421,6.725806653,6.677071672,6.562066162,6.311535695,6.136024065,5.977308229,5.807194517,5.754860104,5.594956769,5.460619334,5.366225829,5.353604186,5.329014442,5.371879,5.532761278,5.577358307,5.588032173,5.515716221,5.625342725,5.754584516,5.913960552,6.040517991,6.310546056,6.310955963,6.251727197,6.24977419,6.217703833
"Dominican Republic",4.623993117,4.197475441,3.859757434,3.666621275,3.442894657,3.346384431,3.237072893,3.171588858,3.077816126,2.909179863,2.844400964,2.723265568,2.625103589,2.64622305,2.669523253,2.579183724,2.55159072,2.466723274,2.364447846,2.344521836,2.360830273,2.34531363,2.521658815,2.770857521,2.788569088,2.833023009,2.841488245,2.800558589
Ecuador,7.04059058,7.232570226,7.153684283,6.827557158,6.49601292,6.399849353,6.376583952,6.071927357,6.072357199,5.723577231,5.465020789,5.331978583,5.539362391,5.641785866,5.578195676,5.5029013,5.546163321,5.490787449,5.552145448,5.378850095,5.297457334,4.935065924,4.733616071,4.330928595,4.035810359,3.994436367,3.917738005,3.867029778
Egypt,3.369132973,3.08126623,2.881517878,2.8797341,2.812490492,2.685449166,2.563441614,2.467030892,2.32676703,2.28617185,2.182294179,2.231528829,2.236276468,2.239890726,2.200204041,2.132993412,2.085820403,2.005910068,1.962243931,1.961964888,1.928521931,1.915433793,1.880771661,1.815161275,1.735518742,1.760042502,1.677070074,1.627558163
"El Salvador",4.785622325,4.990225283,4.579918471,4.618317469,5.310219015,5.822845928,6.003404427,6.141078084,6.353116311,5.924486887,5.649636727,5.327597065,5.060973224,5.05190426,5.14205005,5.135323035,4.808299332,4.881352481,4.608037458,4.543948412,4.3465109,4.288407559,3.914758435,4.032944063,4.411085885,4.492815687,4.345747813,4.251587323
"Equatorial Guinea",20.2625886,20.42107559,19.97694174,19.68196673,19.28988387,18.82417091,17.82941706,15.59490297,14.11944895,12.95121806,11.56480554,10.17731712,9.097194144,8.336697198,7.305164201,7.178460369,7.481774225,6.993692179,6.374958655,6.153407244,5.629705722,4.90459754,4.537047972,4.155711166,4.182989778,3.889824204,3.787520027,3.703601181
Eritrea,9.286207075,10.85138231,10.5243011,9.806108531,9.51993705,9.260671032,8.927567207,8.656869665,8.33363643,7.926464283,7.778070173,7.681485578,7.238692194,6.937038495,6.861271769,6.66720346,6.462898997,6.274913671,6.063766388,5.752551856,5.603018585,5.377987915,5.207214605,5.01098726,4.796769242,4.58921204,4.363343546,4.121504772
Estonia,13.69606824,14.33620974,14.31376008,15.10989127,15.98360702,14.24400001,10.83623728,10.55899675,9.915698851,9.568786871,8.491571884,9.106401732,8.261189795,7.608984419,7.061217834,6.453881911,6.405291428,6.545548318,5.875468204,5.299388705,4.916272887,4.705021253,4.450597296,3.992377249,4.095537979,3.708983232,3.670176936,3.636052075
Ethiopia,10.74188402,10.6305331,10.75620644,10.67825761,10.2159464,9.836928838,9.379668718,8.80482703,8.257866296,7.518956266,7.251248376,7.152820713,6.705431844,6.561779391,6.341837602,6.100267478,5.755427198,5.533390736,5.200120581,4.950380788,4.576647578,4.270501269,3.953930906,3.622101858,3.436191134,3.15796588,2.946466889,2.907422805
Fiji,7.453037823,7.490295854,7.356755759,7.498901493,7.523590752,7.544900905,7.677007663,7.950687476,8.007915859,8.264971741,8.388558717,8.313047075,8.115957428,7.932161273,8.239554414,8.306981143,8.274383679,8.294148704,8.042918846,7.653059279,7.636676265,7.56742667,7.605845199,7.507412952,7.414880897,7.309442954,7.207437133,7.10967148
Finland,3.451345218,3.468561027,3.365842287,3.148036683,3.054579206,2.998395199,2.996824562,3.173690237,3.048040709,3.20441261,3.097715271,2.980920633,2.933677528,2.910243438,2.950071589,2.895837252,2.770211714,2.764646975,2.65922651,2.58825287,2.549718779,2.408631562,2.252949639,2.252939546,2.167188666,2.063630046,2.083181522,2.109260284
France,1.966733863,1.90721507,1.84298258,1.791985565,1.743522551,1.69597178,1.671185874,1.665793988,1.718588687,1.794619499,1.955085013,2.058470625,2.071654217,2.094979774,1.97488125,1.967588301,1.955115757,1.929318672,1.938633867,1.945244924,1.930303294,1.873333613,1.827441551,1.77966444,1.689702876,1.667554641,1.611985576,1.585719625
Gabon,9.698243761,9.158775888,8.698217865,8.093366676,7.764265954,7.670408474,7.255151112,6.905034865,6.535010194,6.104325602,6.042208478,5.972094261,5.875602888,5.927730191,6.004186075,6.411278046,6.440677185,6.513600514,6.384624753,6.13584779,5.705182589,5.416221694,5.096848135,4.80114111,4.693106106,4.584475839,4.362707361,4.164066629
Gambia,7.168868524,6.904275197,6.603124979,6.315468635,6.138780667,5.771038173,5.584237644,5.381975322,5.171512616,5.301049636,4.855643895,4.834563611,4.767071811,4.702241605,4.730573361,4.887763466,4.535804442,4.309323471,4.332767386,4.093287863,4.024316241,3.689710064,3.877287099,3.69464192,3.45693512,3.461292626,3.25759915,3.191134237
